Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,18617.129999999997,223405.56,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
Increased_Cost Estimate,US East (N. Virginia),,Amazon Route 53,0,263,3156.00,USD,,"Hosted Zones (1), Number of Elastic Network Interfaces (2)"
Increased_Cost Estimate,US East (N. Virginia),,VPN Connection,0,0,0.00,USD,,Working days per month (22)
Increased_Cost Estimate,US East (N. Virginia),,Network Address Translation (NAT) Gateway,0,74.7,896.40,USD,,Number of NAT Gateways (2)
Increased_Cost Estimate,US East (N. Virginia),,Application Load Balancer,0,1200.85,14410.20,USD,,Number of Application Load Balancers (2)
Increased_Cost Estimate,US East (N. Virginia),,Amazon CloudWatch,0,0.6,7.20,USD,,Number of Metrics (includes detailed and custom metrics) (2)
Increased_Cost Estimate,US East (N. Virginia),,Amazon EC2 ,0,4662,55944.00,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 8), Advance EC2 instance (m5.8xlarge), Pricing strategy ( 3 Year  None upfront), Enable monitoring (disabled), DT Inbound: Internet (1 TB per month), DT Outbound: Internet (1 TB per month), DT Intra-Region: (1 TB per month)"
Increased_Cost Estimate,US East (N. Virginia),,AWS Data Transfer,0,92.16,1105.92,USD,,"DT Inbound: Internet (100 TB per month), DT Outbound: Internet (1 TB per month), DT Intra-Region: (0 TB per month), Data transfer cost (92.16)"
Increased_Cost Estimate,US East (N. Virginia),,Amazon RDS for MySQL,0,7852.32,94227.84,USD,,"Storage for each RDS instance (Provisioned IOPS SSD (io1)), Storage amount (5 TB), Provisioning IOPS (), Quantity (2), Instance type (db.m4.4xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (OnDemand), Total Size of Backup Processed for Export (GB) (100 per month), Data volume Pricing (Monthly) (2560.0000), Dedicated Log volume Pricing (Monthly) (850.0000)"
Increased_Cost Estimate,US East (N. Virginia),,Amazon Elastic IP,0,0.14,1.68,USD,,"Number of EC2 instances (8), Number of EIPs per instance (1), Number of EIP remaps (1)"
Increased_Cost Estimate,US East (N. Virginia),,S3 Standard,0,2304,27648.00,USD,,S3 Standard storage (100 TB per month)
Increased_Cost Estimate,US East (N. Virginia),,Data Transfer,0,92.16,1105.92,USD,,"DT Inbound: Internet (1 TB per month), DT Outbound: Internet (1 TB per month)"
Increased_Cost Estimate,US East (N. Virginia),,Amazon CloudFront,0,2075.2,24902.40,USD,,"Data transfer out to internet (10 TB per month), Data transfer out to origin (10 TB per month), Number of requests (HTTPS) (1000 million per month)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
,,,,,,,,,
Change instance type of EC2 to m5.8xlarge
Change instance type of RDS to db.m4.4xlarge and Storage amount to 5TB
Change S3 Standard storage to 100 TB
