Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,5744.440000000001,68933.28,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
Reduced_Cost_Estimate,US East (N. Virginia),,Amazon Route 53,0,183,2196.00,USD,,"Hosted Zones (1), Number of Elastic Network Interfaces (2)"
Reduced_Cost_Estimate,US East (N. Virginia),,VPN Connection,0,0,0.00,USD,,Working days per month (22)
Reduced_Cost_Estimate,US East (N. Virginia),,Network Address Translation (NAT) Gateway,0,74.7,896.40,USD,,Number of NAT Gateways (2)
Reduced_Cost_Estimate,US East (N. Virginia),,Application Load Balancer,0,1200.85,14410.20,USD,,Number of Application Load Balancers (2)
Reduced_Cost_Estimate,US East (N. Virginia),,Amazon CloudWatch,0,0.6,7.20,USD,,Number of Metrics (includes detailed and custom metrics) (2)
Reduced_Cost_Estimate,US East (N. Virginia),,Amazon EC2 ,0,2032.32,24387.84,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 8), Advance EC2 instance (m5a.4xlarge), Pricing strategy (Compute Savings Plans 3 Year  None upfront), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
Reduced_Cost_Estimate,US East (N. Virginia),,AWS Data Transfer,0,92.16,1105.92,USD,,"DT Inbound: Internet (1 TB per month), DT Outbound: Internet (1 TB per month), DT Intra-Region: (0 TB per month), Data transfer cost (92.16)"
Reduced_Cost_Estimate,US East (N. Virginia),,Amazon RDS for MySQL,0,2028.6,24343.20,USD,,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (30 GB), Quantity (2), Instance type (db.m2.2xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (OnDemand)"
Reduced_Cost_Estimate,US East (N. Virginia),,Amazon Elastic IP,0,0.14,1.68,USD,,"Number of EC2 instances (8), Number of EIPs per instance (1), Number of EIP remaps (1)"
Reduced_Cost_Estimate,US East (N. Virginia),,S3 Standard,0,23.55,282.60,USD,,S3 Standard storage (1 TB per month)
Reduced_Cost_Estimate,US East (N. Virginia),,Data Transfer,0,0,0.00,USD,,
Reduced_Cost_Estimate,US East (N. Virginia),,Amazon CloudFront,0,108.52,1302.24,USD,,"Data transfer out to internet (1 TB per month), Data transfer out to origin (1 TB per month), Number of requests (HTTPS) (1000000 per month)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
,,,,,,,,,
Change Pricing strategy of EC2 to Compute Savings Plans 3 Year  None upfront
Change Instance type of RDS to db.m2.2xlarge
